Data_Type,dt_time,Location,Business Unit,Interval_Hrs,Call_Volume,AHT_Secs,ASA_Secs,ASA_Target_Secs,Actual_SL,Service Level Target,Shrinkage,Occupancy_Target,Positions_No_Shrinkage,Positions_With_Shrinkage,service_level,occupancy,waiting_probability,Labor Hours Needed - Post Shrinkage Occ
Historical,2025-01-02 07:00:00,TOTAL,Answerlink,1.0,4,880.0,0.0,30.0,,0.8,0.21,0.85,3,4,0.92,0.33,0.09,4.0
Historical,2025-01-02 08:00:00,TOTAL,Answerlink,1.0,32,549.22,0.0,30.0,,0.8,0.21,0.85,8,11,0.87,0.61,0.15,11.0
Historical,2025-01-02 09:00:00,TOTAL,Answerlink,1.0,61,556.82,0.0,30.0,,0.8,0.21,0.85,13,17,0.83,0.73,0.21,17.0
Historical,2025-01-02 10:00:00,TOTAL,Answerlink,1.0,76,554.21,0.0,30.0,,0.8,0.21,0.85,16,21,0.86,0.73,0.17,21.0
Historical,2025-01-02 11:00:00,TOTAL,Answerlink,1.0,44,693.75,0.0,30.0,,0.8,0.21,0.85,12,16,0.83,0.71,0.19,16.0
Historical,2025-01-02 12:00:00,TOTAL,Answerlink,1.0,51,746.09,0.0,30.0,,0.8,0.21,0.85,15,19,0.88,0.7,0.15,19.0
Historical,2025-01-02 13:00:00,TOTAL,Answerlink,1.0,47,705.88,0.0,30.0,,0.8,0.21,0.85,13,17,0.85,0.71,0.18,17.0
Historical,2025-01-02 14:00:00,TOTAL,Answerlink,1.0,47,688.59,0.0,30.0,,0.8,0.21,0.85,13,17,0.87,0.69,0.16,17.0
Historical,2025-01-02 15:00:00,TOTAL,Answerlink,1.0,44,664.13,0.0,30.0,,0.8,0.21,0.85,12,16,0.87,0.68,0.15,16.0
Historical,2025-01-02 16:00:00,TOTAL,Answerlink,1.0,19,925.48,0.0,30.0,,0.8,0.21,0.85,8,11,0.86,0.61,0.15,11.0
Historical,2025-01-02 17:00:00,TOTAL,Answerlink,1.0,8,859.0,0.0,30.0,,0.8,0.21,0.85,4,6,0.86,0.48,0.15,6.0
Historical,2025-01-02 18:00:00,TOTAL,Answerlink,1.0,9,457.5,0.0,30.0,,0.8,0.21,0.85,3,4,0.89,0.38,0.13,4.0
Historical,2025-01-02 19:00:00,TOTAL,Answerlink,1.0,1,542.0,0.0,30.0,,0.8,0.21,0.85,1,2,0.86,0.15,0.15,2.0
Historical,2025-01-02 20:00:00,TOTAL,Answerlink,1.0,1,866.0,0.0,30.0,,0.8,0.21,0.85,2,3,0.98,0.12,0.03,3.0
Historical,2025-01-02 21:00:00,TOTAL,Answerlink,1.0,0,,0.0,30.0,,0.8,0.21,0.85,1,1,1.0,0.0,0.0,1.0
Historical,2025-01-02 22:00:00,TOTAL,Answerlink,1.0,1,0.0,0.0,30.0,,0.8,0.21,0.85,1,1,1.0,0.0,0.0,1.0
Historical,2025-01-02 23:00:00,TOTAL,Answerlink,1.0,0,,0.0,30.0,,0.8,0.21,0.85,1,1,1.0,0.0,0.0,1.0
Historical,2025-01-03 07:00:00,TOTAL,Answerlink,1.0,9,419.54,0.0,30.0,,0.8,0.21,0.85,3,4,0.91,0.35,0.1,4.0
Historical,2025-01-03 08:00:00,TOTAL,Answerlink,1.0,29,688.72,0.0,30.0,,0.8,0.21,0.85,9,12,0.88,0.62,0.14,12.0
Historical,2025-01-03 09:00:00,TOTAL,Answerlink,1.0,39,695.67,0.0,30.0,,0.8,0.21,0.85,11,14,0.84,0.69,0.18,14.0
Historical,2025-01-03 10:00:00,TOTAL,Answerlink,1.0,51,583.52,0.0,30.0,,0.8,0.21,0.85,12,16,0.86,0.69,0.17,16.0
Historical,2025-01-03 11:00:00,TOTAL,Answerlink,1.0,45,521.19,0.0,30.0,,0.8,0.21,0.85,10,13,0.87,0.65,0.16,13.0
