Month,Domestic Actual Labor Hours Needed (shk & occ included),Telus Actual Labor Hours Needed (shk & occ included),Total Actual Labor Hours Needed (shk & occ included),Domestic Forecast Labor Hours Needed (shk & occ included),Telus Forecast Labor Hours Needed (shk & occ included),Total Forecast Labor Hours Needed (shk & occ included),Capacity Days,Scheduled Hours per Week,Productive Hrs per FTE per Month,Domestic Actual FTE Need - Erlang,Telus Actual FTE Need - Erlang,Total Actual FTE Need - Erlang,Domestic Forecast FTE Need - Erlang,Telus Forecast FTE Need - Erlang,TotalForecast FTE Need - Erlang
01/01/2025,1872,1166,3038,1697,1058,2755,29,37.5,155.36,12.05,7.51,19.55,10.93,6.81,17.73
02/01/2025,1435,895,2330,1479,921,2400,27,37.5,144.64,9.92,6.18,16.11,10.22,6.37,16.59
03/01/2025,1612,1005,2617,1616,1007,2623,31,37.5,166.07,9.71,6.05,15.76,9.73,6.06,15.79
04/01/2025,1467,914,2381,1681,1047,2728,30,37.5,160.71,9.13,5.69,14.82,10.46,6.52,16.97
05/01/2025,1537,957,2494,1651,1028,2679,30,37.5,160.71,9.56,5.96,15.52,10.27,6.4,16.67
06/01/2025,1440,898,2338,1561,973,2534,29,37.5,155.36,9.27,5.78,15.05,10.05,6.26,16.31
07/01/2025,1716,1069,2785,1690,1053,2743,30,37.5,160.71,10.68,6.65,17.33,10.52,6.55,17.07
08/01/2025,1512,943,2455,1633,1017,2650,31,37.5,166.07,9.11,5.68,14.78,9.83,6.13,15.96
09/01/2025,1407,876,2283,1630,1015,2645,29,37.5,155.36,9.05,5.64,14.7,10.49,6.54,17.03
10/01/2025,1461,911,2372,1731,1078,2809,31,37.5,166.07,8.8,5.48,14.28,10.42,6.49,16.91
11/01/2025,1152,718,1870,1443,899,2342,28,37.5,150.0,7.68,4.79,12.47,9.62,5.99,15.61
12/01/2025,1119,698,1817,1649,1027,2676,29,37.5,155.36,7.21,4.49,11.7,10.61,6.61,17.22
01/01/2026,1217,758,1975,1385,863,2248,29,37.5,155.36,7.83,4.88,12.71,8.91,5.56,14.47
02/01/2026,1061,661,1722,1249,779,2028,27,37.5,144.64,7.33,4.57,11.91,8.64,5.38,14.02
03/01/2026,1461,911,2372,1288,802,2090,31,37.5,166.07,8.8,5.48,14.28,7.75,4.83,12.58
04/01/2026,0,0,0,1304,812,2116,30,37.5,160.71,0.0,0.0,0.0,8.11,5.05,13.17
05/01/2026,0,0,0,1312,817,2129,30,37.5,160.71,0.0,0.0,0.0,8.16,5.09,13.25
06/01/2026,0,0,0,1362,849,2211,29,37.5,155.36,0.0,0.0,0.0,8.77,5.46,14.23
07/01/2026,0,0,0,1410,879,2289,30,37.5,160.71,0.0,0.0,0.0,8.77,5.47,14.24
08/01/2026,0,0,0,1349,841,2190,31,37.5,166.07,0.0,0.0,0.0,8.12,5.06,13.19
09/01/2026,0,0,0,1373,856,2229,29,37.5,155.36,0.0,0.0,0.0,8.84,5.51,14.35
10/01/2026,0,0,0,1390,866,2256,31,37.5,166.07,0.0,0.0,0.0,8.37,5.22,13.58
11/01/2026,0,0,0,1279,797,2076,28,37.5,150.0,0.0,0.0,0.0,8.53,5.31,13.84
12/01/2026,0,0,0,1413,880,2293,29,37.5,155.36,0.0,0.0,0.0,9.09,5.67,14.76
01/01/2027,0,0,0,1381,860,2241,31,37.5,166.07,0.0,0.0,0.0,8.31,5.18,13.49
02/01/2027,0,0,0,1301,811,2112,28,37.5,150.0,0.0,0.0,0.0,8.67,5.41,14.08
03/01/2027,0,0,0,1488,928,2416,31,37.5,166.07,0.0,0.0,0.0,8.96,5.59,14.55
