Month,Domestic Actual Labor Hours Needed (shk & occ included),Telus Actual Labor Hours Needed (shk & occ included),Total Actual Labor Hours Needed (shk & occ included),Domestic Forecast Labor Hours Needed (shk & occ included),Telus Forecast Labor Hours Needed (shk & occ included),Total Forecast Labor Hours Needed (shk & occ included),Capacity Days,Scheduled Hours per Week,Productive Hrs per FTE per Month,Domestic Actual FTE Need - Erlang,Telus Actual FTE Need - Erlang,Total Actual FTE Need - Erlang,Domestic Forecast FTE Need - Erlang,Telus Forecast FTE Need - Erlang,TotalForecast FTE Need - Erlang
01/01/2025,1752,1092,2844,1697,1058,2755,29,37.5,155.36,11.28,7.03,18.31,10.93,6.81,17.73
02/01/2025,1357,845,2202,1479,921,2400,27,37.5,144.64,9.38,5.84,15.22,10.22,6.37,16.59
03/01/2025,1506,938,2444,1616,1007,2623,31,37.5,166.07,9.07,5.65,14.72,9.73,6.06,15.79
04/01/2025,1440,897,2337,1681,1047,2728,30,37.5,160.71,8.96,5.58,14.54,10.46,6.52,16.97
05/01/2025,1487,927,2414,1651,1028,2679,30,37.5,160.71,9.25,5.77,15.02,10.27,6.4,16.67
06/01/2025,1353,843,2196,1561,973,2534,29,37.5,155.36,8.71,5.43,14.14,10.05,6.26,16.31
07/01/2025,1568,977,2545,1690,1053,2743,30,37.5,160.71,9.76,6.08,15.84,10.52,6.55,17.07
08/01/2025,1389,865,2254,1633,1017,2650,31,37.5,166.07,8.36,5.21,13.57,9.83,6.13,15.96
09/01/2025,1300,810,2110,1630,1015,2645,29,37.5,155.36,8.37,5.21,13.58,10.49,6.54,17.03
10/01/2025,1394,868,2262,1731,1078,2809,31,37.5,166.07,8.39,5.23,13.62,10.42,6.49,16.91
11/01/2025,1090,679,1769,1443,899,2342,28,37.5,150.0,7.27,4.53,11.79,9.62,5.99,15.61
12/01/2025,1071,668,1739,1649,1027,2676,29,37.5,155.36,6.9,4.3,11.19,10.61,6.61,17.22
01/01/2026,1144,713,1857,1385,863,2248,29,37.5,155.36,7.36,4.59,11.95,8.91,5.56,14.47
02/01/2026,1030,642,1672,1249,779,2028,27,37.5,144.64,7.12,4.44,11.56,8.64,5.38,14.02
03/01/2026,1403,875,2278,1288,802,2090,31,37.5,166.07,8.45,5.27,13.72,7.75,4.83,12.58
04/01/2026,0,0,0,1304,812,2116,30,37.5,160.71,0.0,0.0,0.0,8.11,5.05,13.17
05/01/2026,0,0,0,1312,817,2129,30,37.5,160.71,0.0,0.0,0.0,8.16,5.09,13.25
06/01/2026,0,0,0,1362,849,2211,29,37.5,155.36,0.0,0.0,0.0,8.77,5.46,14.23
07/01/2026,0,0,0,1410,879,2289,30,37.5,160.71,0.0,0.0,0.0,8.77,5.47,14.24
08/01/2026,0,0,0,1349,841,2190,31,37.5,166.07,0.0,0.0,0.0,8.12,5.06,13.19
09/01/2026,0,0,0,1373,856,2229,29,37.5,155.36,0.0,0.0,0.0,8.84,5.51,14.35
10/01/2026,0,0,0,1390,866,2256,31,37.5,166.07,0.0,0.0,0.0,8.37,5.22,13.58
11/01/2026,0,0,0,1279,797,2076,28,37.5,150.0,0.0,0.0,0.0,8.53,5.31,13.84
12/01/2026,0,0,0,1413,880,2293,29,37.5,155.36,0.0,0.0,0.0,9.09,5.67,14.76
01/01/2027,0,0,0,1381,860,2241,31,37.5,166.07,0.0,0.0,0.0,8.31,5.18,13.49
02/01/2027,0,0,0,1301,811,2112,28,37.5,150.0,0.0,0.0,0.0,8.67,5.41,14.08
03/01/2027,0,0,0,1488,928,2416,31,37.5,166.07,0.0,0.0,0.0,8.96,5.59,14.55
